parameter,mean,std,median,credible_2.5%,credible_16%,credible_84%,credible_97.5%
r,0.006500739300776297,0.004879567438790877,0.00530353010296341,0.002193346782644927,0.0033603109757320234,0.009239299215960782,0.017656273491488697
a2,1.6508112020371097,0.2282296255503321,1.6756215163640595,1.1508859396707813,1.4201043069020074,1.8965921389445033,1.983597510321403
a4,27.797995317745496,4.011855466871047,27.557043490634154,20.56970283383774,23.885984503349892,31.748393803691542,36.469807858330825
a5,0.7001862734706865,0.5797954677098176,0.5578119214008723,0.01773741669753397,0.15109455914104594,1.2790086291747187,2.0752311283944564
a6,306.15209806989867,270.5789369839638,230.92615189026844,9.430577928840625,55.12539372061905,569.3223302526918,1016.7538960073107
sigma,0.0019709694273272057,0.0001446889984966604,0.0019647798392899837,0.0016978630603408924,0.001830276681108464,0.002114976537857009,0.0022733829216368944
