parameter,mean,std,median,credible_2.5%,credible_16%,credible_84%,credible_97.5%
r,0.1773316813021143,0.0850659905827674,0.17046950284572793,0.039202043406940335,0.0895834009230699,0.2650366264294519,0.36000622973686575
a2,0.6465910499538131,0.5692531931012188,0.524033097318908,0.013974734338464778,0.036129609466223206,1.326117164152038,1.8492973394795944
a4,30.68656920008689,11.213268545611893,28.335411511242896,6.706925464517514,22.396317627149248,42.78761556092786,54.98221948765549
a5,1.121647740992817,0.7257157397657893,1.022527435746559,0.08284379351308802,0.3689154588567162,1.8617924376160804,2.780770565193416
a6,454.2832327328755,330.0741976569454,388.0204360625776,24.462257250890744,125.31845089170285,794.0388935427014,1253.2390241419764
sigma,0.001012332429927155,7.553791434364169e-05,0.001009950480465365,0.0008764346847901108,0.0009358041300368928,0.0010859610647344935,0.0011700857572385565
