r,a2,a4,a5,a6,sigma
0.31619580647523854,0.26495073135114416,35.60980868369938,0.8345747153162817,1113.107078513473,0.0009420993272149675
0.07666101167696661,0.051530312749548696,24.37905109004077,1.7083673714581542,136.4972693549397,0.0010279020184193015
0.26633303028475,0.01684908795319806,57.295441924379276,1.195683113861347,40.60974519409852,0.0009093863698370458
0.22754905177718357,0.2173169320364743,43.55504449279892,1.7757712371107401,536.160581989979,0.000896832795901826
0.20644615482723927,0.0778888203647988,36.61187078148331,1.2228934933482565,193.43447094033408,0.0010064824045638774
0.2284005264294896,0.03327693771332382,17.776126826929776,1.206208751483851,915.302764596225,0.0009875044906471142
0.11395062463619829,0.06102785302879939,47.4765913589815,0.6725939274576868,12.958047695972754,0.0010277954896118003
0.32700017201134457,0.032054266688301705,25.19904936313449,1.6827879716683165,10.00800555574048,0.0009877412779888113
0.2061018705179665,0.04470790117001254,21.289533913364636,1.4248199850254981,10.265492827967543,0.0010045243337342745
0.24795222942143952,0.398242028551358,54.13832994400611,1.3732048207664822,179.56607235100836,0.0010339458472699342
0.2060979607606094,0.14653261602594478,45.64568801933208,1.6993639382186563,216.31488877992354,0.001016227533015344
0.15677341670092182,0.21620783347989117,37.61098625304055,0.9365730042507321,132.04579651807455,0.0010233561561471686
0.1491909432619115,1.8565985065221293,27.381078185797314,1.5835932388846143,556.7129371925714,0.001091938983407532
0.17779009420858058,1.9501115790006034,21.065300621298856,2.078144304346072,629.116237346692,0.0010357256613435797
0.11062606634531942,1.7640810019553281,28.941535566265774,1.7760956896858793,852.6288466663681,0.001047665535864046
0.09631109579354802,1.3381957253899328,23.033102622540056,1.2074040315698569,801.657195192325,0.0009434821690732541
0.03433885243352284,1.2993249658803225,30.699058353548395,2.0595202687714913,48.00790026178916,0.0009727703102117775
0.0884343399463838,1.4563070451725828,25.910250694526606,1.1388463649543874,44.86825799393864,0.001013603444951415
0.07703066361527428,1.1367320961115384,35.51756347261021,0.4928313867623521,104.41042054177699,0.00102699675074005
0.07652674822189146,1.2654714289333227,29.595049453808613,1.1362501316185545,115.71999176595352,0.0010363184703579274
0.18559474450070096,0.7930969017174447,24.386927720588794,1.3965195962466888,599.4656533900405,0.0009420411873512966
0.20428790130971533,0.49410041169340574,33.05723442047202,1.0490049123702025,965.9117911972465,0.0009872943556670272
0.1221475476281937,1.329348513142856,28.89733726255856,2.5764528686363004,397.60678146031574,0.0009479048372626133
