epoch,train_loss,val_loss,train_accuracy,val_accuracy,precision,recall,f1,efficiency
78,0.020038,0.022602,0.995562,0.998,0.998571,0.998,0.997917,0.998
79,0.018543,0.026227,0.9965,0.988,0.983571,0.988,0.984583,0.988
80,0.018388,0.020184,0.996063,0.99025,0.990064,0.99025,0.987199,0.99025
81,0.017955,0.024346,0.996375,0.9945,0.992024,0.9945,0.992833,0.9945
82,0.018605,0.187311,0.996063,0.94125,0.917024,0.94125,0.923136,0.94125
83,0.026754,0.502842,0.992312,0.85425,0.814396,0.85425,0.818232,0.85425
84,0.021001,0.104849,0.99475,0.9635,0.95111,0.9635,0.952095,0.9635
85,0.015482,0.034098,0.996938,0.99,0.985,0.99,0.986667,0.99
86,0.014974,0.710304,0.99725,0.88225,0.870357,0.88225,0.864711,0.88225
87,0.015365,0.066693,0.996687,0.967,0.962857,0.967,0.960274,0.967
88,0.015255,0.098519,0.996375,0.95675,0.941667,0.95675,0.945093,0.95675
89,0.017191,0.395033,0.994812,0.91275,0.895552,0.91275,0.89622,0.91275
90,0.032167,0.559571,0.990313,0.85675,0.830579,0.85675,0.828498,0.85675
91,0.014965,0.010801,0.996562,1.0,1.0,1.0,1.0,1.0
92,0.014299,1.127867,0.99575,0.8645,0.823183,0.8645,0.835539,0.8645
93,0.013987,0.203442,0.996562,0.943,0.928536,0.943,0.929583,0.943
94,0.022086,0.029379,0.993625,0.99,0.985,0.99,0.986667,0.99
95,0.013118,0.024373,0.996625,0.99225,0.990726,0.99225,0.990358,0.99225
96,0.009804,0.013892,0.998937,1.0,1.0,1.0,1.0,1.0
97,0.008986,0.080458,0.998688,0.96,0.946667,0.96,0.950833,0.96
98,0.024259,0.720409,0.9925,0.897,0.871948,0.897,0.875808,0.897
99,0.012847,0.114837,0.996875,0.949,0.931591,0.949,0.936497,0.949
100,0.026162,0.03201,0.992312,0.98525,0.984231,0.98525,0.981366,0.98525
101,0.011789,0.061417,0.997875,0.9775,0.970642,0.9775,0.972004,0.9775
102,0.007709,0.011599,0.999,0.99575,0.997703,0.99575,0.994813,0.99575
103,0.009136,0.286213,0.998187,0.93275,0.917062,0.93275,0.915138,0.93275
104,0.02535,3.280495,0.992688,0.76275,0.701269,0.76275,0.714059,0.76275
105,0.018086,0.084975,0.995125,0.9655,0.955333,0.9655,0.956412,0.9655
