shot,a4,resid_rms
10084_cv,1.0,0.001740354229696095
10084_cv,2.0,0.001740393228828907
10084_cv,3.0,0.0017403799574822187
10084_cv,4.0,0.0017404300160706043
10084_cv,5.0,0.001740403356961906
10084_cv,6.0,0.0017404373502358794
10084_cv,7.0,0.001740433624945581
10084_cv,8.0,0.0017404236132279038
10084_cv,9.0,0.0017403571400791407
10084_cv,10.0,0.0017403789097443223
10084_cv,11.0,0.0017403637757524848
10084_cv,12.0,0.0017402780940756202
10084_cv,13.0,0.0017362465150654316
10084_cv,14.0,0.0017334810690954328
10084_cv,15.0,0.00173042097594589
10084_cv,16.0,0.0017277846345677972
10084_cv,17.0,0.0017255423590540886
10084_cv,18.0,0.001723484368994832
10084_cv,19.0,0.0017213624669238925
10084_cv,20.0,0.0017192118102684617
10084_cv,21.0,0.0017170157516375184
10084_cv,22.0,0.0017146875616163015
10084_cv,23.0,0.001712619443424046
10084_cv,24.0,0.0017120720585808158
10084_cv,25.0,0.0017129798652604222
10084_cv,26.0,0.0017160075949504972
10084_cv,27.0,0.0017210105434060097
10084_cv,28.0,0.00172667286824435
10084_cv,29.0,0.001731485710479319
10084_cv,30.0,0.0017352488357573748
10084_cv,31.0,0.0017379175405949354
10084_cv,32.0,0.0017395619070157409
10084_cv,33.0,0.00174029974732548
10084_cv,34.0,0.0017403292004019022
10084_cv,35.0,0.001740336767397821
10084_cv,36.0,0.0017403424717485905
10084_cv,37.0,0.0017403624951839447
10084_cv,38.0,0.001740352134220302
10084_cv,39.0,0.0017404413083568215
10084_cv,40.0,0.0017403945093974471
10084_cv,41.0,0.001740378444083035
10084_cv,42.0,0.0017403840320184827
10084_cv,43.0,0.0017403487581759691
10084_cv,44.0,0.001740377745591104
10084_cv,45.0,0.0017403532983735204
10084_cv,46.0,0.0017404173268005252
10084_cv,47.0,0.0017403560923412442
10084_cv,48.0,0.001740356907248497
10084_cv,49.0,0.0017403478268533945
10084_ch,1.0,0.004630842711776495
10084_ch,2.0,0.0058152517303824425
10084_ch,3.0,0.00575793394818902
10084_ch,4.0,0.0057017323561012745
10084_ch,5.0,0.004630959592759609
10084_ch,6.0,0.00558946467936039
10084_ch,7.0,0.005532230716198683
10084_ch,8.0,0.005473862402141094
10084_ch,9.0,0.005414343439042568
10084_ch,10.0,0.005353925749659538
10084_ch,11.0,0.005293147638440132
10084_ch,12.0,0.004630958195775747
10084_ch,13.0,0.005133348982781172
10084_ch,14.0,0.005077183246612549
10084_ch,15.0,0.005027620121836662
10084_ch,16.0,0.0049840654246509075
10084_ch,17.0,0.004945548716932535
10084_ch,18.0,0.004910917021334171
10084_ch,19.0,0.004879065323621035
10084_ch,20.0,0.004849119111895561
10084_ch,21.0,0.004820564296096563
10084_ch,22.0,0.0047932639718055725
10084_ch,23.0,0.0047673918306827545
