suite,shot,method,n_bins,n_dof,fits_data,seconds,resid_pct,resid_unsat_pct,n_imputed_channels,hi10_frac,centroid_mev,n_eff_bins,nnls_floor_pct
real,10084_cv,CNN n50,50,50,False,0.052520500001264736,23.37388469120992,24.61258697414728,42,0.6576895871420614,23.12303112324119,36.9116044389559,22.777195261688746
real,10084_cv,DNN spectrum n20,20,20,False,0.046861499999067746,25.99619522870839,25.57384616803765,42,0.9999998849946407,13.700220442650881,2.778256415236904,22.777195261688746
real,10084_cv,DNN classifier n50,50,50,False,0.05205260000366252,48.941138854212284,48.98607650715806,42,1.2268000691806037e-06,24.499999999969372,1.000002471671028,22.777195261688746
real,10084_cv,PFF ensemble,200,6,False,0.23699679999845102,24.06004371487335,25.00147130879244,42,0.512797699134601,22.208155291561862,29.0442306339552,22.777195261688746
real,10084_cv,TSVD_NN,100,7,True,0.026961700001265854,22.75325954722134,24.183541318062197,42,1.0,21.89417296997748,4.325677739796155,22.777195261688746
real,10084_ch,CNN n50,50,50,False,0.04714490000333171,79.90362783975766,79.90362783975766,0,0.8369973721784147,39.13234517190832,27.213801748968752,77.35284958667904
real,10084_ch,DNN spectrum n20,20,20,False,0.04441390000283718,87.41359462632708,87.41359462632708,0,1.0,18.700000000000003,2.7777777777777772,77.35284958667904
real,10084_ch,DNN classifier n50,50,50,False,0.044786099999328144,114.70149263539778,114.70149263539778,0,1.2268000691806037e-06,24.499999999969372,1.000002471671028,77.35284958667904
real,10084_ch,PFF ensemble,200,6,False,0.24081799999112263,102.40471330414711,102.40471330414711,0,0.061535545155605754,14.957460804721032,5.939729801235773,77.35284958667904
real,10084_ch,TSVD_NN,100,7,True,0.004452299996046349,77.29123695602044,77.29123695602044,0,1.0,49.5,1.0,77.35284958667904
real,11696_cv,CNN n50,50,50,False,0.05038000000058673,50.62984132181293,50.62984132181293,0,0.015985017120723175,29.170839441610404,3.6801186999883035,48.887912224818834
real,11696_cv,DNN spectrum n20,20,20,False,0.04631350000272505,48.50009771395226,48.50009771395226,0,0.0,,2.7778182435896035,48.887912224818834
