parameter,mean,std,median,credible_2.5%,credible_16%,credible_84%,credible_97.5%,tau_latent_median,tau_latent_2.5%,tau_latent_97.5%
r,0.0749614781268762,0.050199410535030034,0.06189240325990641,0.018020872147680243,0.03280308136808159,0.12055663307289458,0.2003984893113521,1.3020662954833209,0.6251699608303799,2.226959554924703
a2,1.8622232997668229,0.1190348307564934,1.8955062597134449,1.557286629081749,1.748098689498957,1.9684292600581481,1.9940819508128116,0.4392771893857956,0.023710363928205556,1.5216842585123704
a4,38.23600438110976,5.520705102910236,38.05680535765045,27.588987304874838,33.23241685649117,42.91909991847329,49.85083941043417,0.5671101932200568,0.27760190837105375,1.1262731748790162
a5,0.178715016997385,0.4546541098570209,0.06581197579535031,0.003808573700880402,0.01732246673042486,0.2576777709932107,0.9782602615464674,0.5446781329120762,0.02974155629783647,1.766244387982184
a6,51.589786534496945,117.91968033740532,14.980341638196947,0.14494681232238749,1.8877969696460095,83.34471465686056,315.1865671488014,0.520294238275918,0.03403814309881657,1.6523983950412147
