shot,view,parameter,mean,std,median,credible_2.5%,credible_16%,credible_84%,credible_97.5%
10084,ch,r,0.265519824599913,0.20543455036633856,0.19994241769680685,0.039249256471682134,0.08472093027896563,0.47278650307782394,0.7921498927997791
10084,ch,a2,1.859355277879718,0.14139685708021363,1.9045712522439984,1.4808936235533936,1.7447227553029419,1.9756348689567775,1.9955124380432645
10084,ch,a4,47.61189665364287,2.9861060342205166,47.86156287755877,41.03068114206719,45.126057506616846,49.93729116095287,52.90627254175469
10084,ch,a5,0.23561467918471318,0.587209119001699,0.07730770198892342,0.0034525122733088855,0.018967357103285922,0.33385877894350874,1.519168678917335
10084,ch,a6,68.18699354297776,168.9869852200179,15.732211180145862,0.278333678751073,1.5464759570367796,109.00907342365178,494.4216504145741
10084,ch,sigma,0.0027242899847171203,0.00019097852410626074,0.0027131738117048246,0.0023701309122105448,0.0025413516073444203,0.0029108193645163856,0.003108577569303422
11674,ch,r,0.017003372529406632,0.03093291910835056,0.01021797732258514,0.002369498699856221,0.00478844965269713,0.024860596029171726,0.06624647374293993
11674,ch,a2,1.8500588202875625,0.14309462798164704,1.8927844479864935,1.4700173574027648,1.7208318414572026,1.9725977637204277,1.9955825496275763
11674,ch,a4,33.531351360784726,7.443616969869045,32.264807823967985,22.853561916087795,27.1572055933475,39.016058234061866,53.135497309960044
11674,ch,a5,0.17837271235828395,0.514178457814289,0.05439338784952949,0.0019974263687138846,0.011436619535271465,0.2415294744847586,1.0312031248015294
11674,ch,a6,54.97583265611902,169.20004925847294,12.643657836962472,0.1161427677971691,1.63552636332292,80.25459650600952,339.37601810629144
11674,ch,sigma,0.002314849889512612,0.00016859491221285608,0.0023050089514192167,0.0020146456443656258,0.00214643233036185,0.0024823107438279473,0.00267663858404376
11733,ch,r,0.2114863169040779,0.18342061516471053,0.14635766044760654,0.033380110199006885,0.065639967939139,0.3698823807353651,0.7325872428267839
11733,ch,a2,1.8630895687977727,0.13170002906088416,1.905675734755195,1.5109264136607208,1.7489459100245839,1.9749852550759037,1.9958355253041298
11733,ch,a4,47.2009885458989,3.4774018440681735,47.39311836451533,39.933774371274744,44.020890673424155,50.06946821137172,53.14003722909963
11733,ch,a5,0.23412604214302743,0.5543722297497125,0.08360916226036938,0.0032521202691840304,0.01837689390964053,0.329730235346074,1.5204725913565535
11733,ch,a6,64.773001263093,158.49928914013637,15.15539694624453,0.12677802215556336,1.6800368438365638,93.67081373220276,473.21029330656444
11733,ch,sigma,0.0017637849683944204,0.00012755931777413276,0.0017631595962647865,0.0015338360622996774,0.001627910442068725,0.0018891023411961808,0.0020277705268143737
11705,ch,r,0.017257122850280786,0.015243512199553642,0.012948604693008455,0.003523556643733117,0.006764058306753168,0.025979739571857858,0.06272896141834723
11705,ch,a2,1.8658193180787135,0.12492152965686731,1.902766301453449,1.534368036146119,1.750957200478586,1.975323322636635,1.9968556244736306
11705,ch,a4,29.81215428239116,4.693063870313973,29.148484312936027,22.49527868291568,25.860051265949355,33.863077698728894,38.77146388873555
11705,ch,a5,0.16600133041454054,0.4840398123217578,0.054811517106874576,0.002057510462358665,0.012367169067021178,0.23687621618017693,0.9439905364654289
11705,ch,a6,55.29329072232725,149.70446136415978,13.76096839219238,0.1870526237840668,1.6317655096055141,89.16892186934093,343.5215345805549
11705,ch,sigma,0.001967691630824199,0.0001447068659254219,0.0019628023064362206,0.0016940880300079226,0.0018245500013585206,0.0021220785301542494,0.0022532360454065293
11707,ch,r,0.035252484547847775,0.039605580619022286,0.022897838786242103,0.005107306376103061,0.010427388841866735,0.05709332873712297,0.15789433968059707
11707,ch,a2,1.8457682200348664,0.14862477410882644,1.8918696336455465,1.457972976113961,1.715851726306035,1.971244222769075,1.9954253741795727
11707,ch,a4,30.947794091520066,6.53074340251225,30.09105057563662,21.49476919239473,25.448619859345765,35.83154244491239,52.56624327398971
11707,ch,a5,0.18763063050734638,0.5389984641203814,0.05894964578670569,0.0013952755889005376,0.011807747709424768,0.25647250005269645,1.136594760059977
11707,ch,a6,62.11483740703927,138.8120033729202,14.413908402380029,0.07776347780463067,1.6077122171757618,98.59763459252243,393.97744500234126
11707,ch,sigma,0.0016257854512395419,0.00012127576877094294,0.0016219010007867817,0.0014012397004394602,0.0015021445422926257,0.0017479791522124054,0.0018702511130546892
11716,ch,r,0.11690814422470118,0.1262811698150129,0.07379921933697765,0.019295820405484335,0.03545842205943497,0.18084599828118603,0.48781132628763973
11716,ch,a2,1.8642070520645977,0.13125063221663552,1.9047910093645175,1.5334598850416925,1.7443565859704533,1.9775041725033284,1.9958126637910985
11716,ch,a4,41.86736695117819,5.089419865500759,41.383928876388225,33.1854063897257,36.95711297160906,46.809211248108376,51.62630397579739
11716,ch,a5,0.22359049545760126,0.5992552145078711,0.0712458331098185,0.00283666871805241,0.016751080895125874,0.30520575905320335,1.394246115337767
11716,ch,a6,61.92842338463503,157.32761744256786,14.845349590089697,0.1125425618644507,1.6500289346292558,93.94808276635558,418.84000191970864
11716,ch,sigma,0.0013934289584535099,9.741925632107005e-05,0.0013923733466535623,0.001214773322680747,0.001292302235423609,0.001488618771648624,0.0015936229869597518
