shot,source_zip,n_bins,mev_per_bin,rank,pred_bin,energy_lo_mev,energy_hi_mev,confidence
Shot_011343_gain8.05,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011343_gain8.05,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.999848
Shot_011343_gain8.05,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.000152
Shot_011343_gain8.05,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011343_gain8.05,TPW_2017.zip,50,1.0,1,39,39.0,40.0,1.0
Shot_011343_gain8.05,TPW_2017.zip,50,1.0,2,0,0.0,1.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011343_gain8.05,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011343_gain8.05,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011343_gain8.05,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011345_gain8.05,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011345_gain8.05,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.937566
Shot_011345_gain8.05,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.062434
Shot_011345_gain8.05,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011345_gain8.05,TPW_2017.zip,50,1.0,1,0,0.0,1.0,1.0
Shot_011345_gain8.05,TPW_2017.zip,50,1.0,2,39,39.0,40.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,50,1.0,3,48,48.0,49.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,100,0.5,1,1,0.5,1.0,1.0
Shot_011345_gain8.05,TPW_2017.zip,100,0.5,2,99,49.5,50.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,100,0.5,3,97,48.5,49.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,200,0.25,1,41,10.25,10.5,1.0
Shot_011345_gain8.05,TPW_2017.zip,200,0.25,2,199,49.75,50.0,0.0
Shot_011345_gain8.05,TPW_2017.zip,200,0.25,3,197,49.25,49.5,0.0
Shot_011347_gain8.05,TPW_2017.zip,10,5.0,1,4,20.0,25.0,1.0
Shot_011347_gain8.05,TPW_2017.zip,10,5.0,2,3,15.0,20.0,0.0
Shot_011347_gain8.05,TPW_2017.zip,10,5.0,3,5,25.0,30.0,0.0
Shot_011347_gain8.05,TPW_2017.zip,20,2.5,1,7,17.5,20.0,0.992468
Shot_011347_gain8.05,TPW_2017.zip,20,2.5,2,8,20.0,22.5,0.007532
Shot_011347_gain8.05,TPW_2017.zip,20,2.5,3,0,0.0,2.5,0.0
Shot_011347_gain8.05,TPW_2017.zip,50,1.0,1,0,0.0,1.0,1.0
