r,a2,a4,a5,a6,sigma
0.24398327774152118,0.9162391222497859,44.35979748590817,1.4859641932735452,1254.5621429210228,0.00038643528609888175
0.1663136059427067,0.9900286070037109,45.42258375795863,1.0573877103149574,30.627379102507753,0.0003956734194641162
0.15332052162754825,1.0300883979450302,46.393081868576665,1.206473513500127,25.08365764786763,0.0003945603488345772
0.16975144549530774,0.8550778155082082,48.30495338503986,1.6738643618765658,422.7748154826661,0.00037009089241127964
0.2187920523142774,1.2704474837744764,45.77168878457079,2.225986455130849,169.64672146280583,0.0003977274167070432
0.24474755035986231,1.5009490316194587,45.80466920063038,2.2144378257833233,85.28221034229281,0.0004038678498682717
0.28144252074874904,1.0332424550375245,44.30785854429037,1.3662296148472135,1115.7235682394887,0.0003485944541883739
0.1351631900725228,0.9885720192455356,46.979180766556674,1.2439910912342615,238.9386603766429,0.0004216309806713797
0.1609161444870163,1.1176219843821298,44.14941480378686,1.1569279830051828,429.4730295303477,0.0003576693745236744
0.1015891990702175,1.3597281902224523,43.510318492673214,0.7659278120711722,46.04334524590066,0.0003923502018276481
0.2378856526092392,0.6432413503409448,45.3385116293214,0.45595042089014604,123.80147279371268,0.0003519043201836152
0.27351844560077354,0.9030046091343177,42.09700582896282,0.96294911630073,175.48180531007927,0.0003937869751948896
0.12469520634308845,0.8145101705254985,46.4179086811916,1.3999851337653562,139.89802630809322,0.0004032210351221974
0.11887899502799495,0.9046234280258165,46.347978902033,1.203808946793941,139.55056614011025,0.00040188072349722667
0.2566544893017327,0.6798223960711595,42.71998315544665,0.8027798859810799,255.90007957464417,0.0003680024162605613
0.13844151216535958,1.0377909148255107,47.91625281862616,1.0177009380489233,588.4588135711057,0.00039861581768979956
0.30678566016982,0.9284792935318437,42.1672527715716,0.9885940982401782,304.54423947457315,0.0003360511381509397
0.11228250188218697,0.8600981283704319,46.32797890704542,1.5984723607402629,546.7436789943533,0.00035008788549882315
0.10414258603664346,1.109381784477557,47.5160924346386,1.2341761686598534,618.8054879027061,0.0003674093100620495
0.38431043619403393,0.6300915847567023,41.59209291687894,1.1671760938547495,349.2414985109332,0.00038248709715197173
0.32549899623653994,0.9102075606876942,40.477855798854996,1.5405432304888993,422.7646555861026,0.0003691631304292625
0.22772875805345083,0.8729902242025693,43.69120508579797,1.5575602169992147,530.2537498478663,0.00035859512220133793
0.11620133870788654,1.1602079337269076,45.78867186199267,0.760023297126939,131.3074353354597,0.000361245407540981
0.16728780034749777,1.2169892577791952,43.04014694146988,0.9033957766856408,23.94028440974156,0.0003716108067718421
0.2340002526475124,0.7497443440843968,44.65211140434352,0.7390764787862698,1399.0434380022825,0.0003621064964711223
0.28899872794999937,0.6550405386812044,44.71235105812649,0.613898495518612,512.7026131257784,0.0003683469469014607
0.3675255013079465,0.8568157923723301,43.64822616413714,0.8670811293596987,488.2820397662026,0.0003386265580811889
0.12691918679362155,1.5501383748514292,42.1663798111856,0.6119081263086869,511.6016195046606,0.0003973951605437722
0.26801753242976456,0.8878571972882573,43.060267152244435,1.1988930032343896,722.8315914386886,0.00041475980979580583
0.2862971384362072,0.7761331664552895,43.60899227483265,1.0138182429695872,591.2761988661264,0.0004021395548959591
0.3308558857752811,0.44414761847111855,44.40444609460256,1.296365292986318,671.541660176031,0.00041737955541109955
0.22495165006742446,1.6180679290033986,43.53316829169209,1.0744217410842614,376.1364582721178,0.0003927581173515625
0.34473253480183463,0.9367518085526104,43.38225825869576,1.9107509696592597,662.4468276993628,0.00038080520557914486
