epoch,train_loss,val_loss,train_accuracy,val_accuracy,precision,recall,f1,efficiency
1,2.57517,2.646658,0.171,0.14,0.032222,0.14,0.050476,0.14
2,2.052045,2.423502,0.24125,0.12,0.029833,0.12,0.046159,0.12
3,1.894661,2.071167,0.266,0.2,0.102333,0.2,0.124,0.2
4,1.771154,1.902527,0.30225,0.24,0.083,0.24,0.120381,0.24
5,1.701313,2.220124,0.31625,0.257,0.12094,0.257,0.155042,0.257
6,1.662075,1.841014,0.3275,0.38,0.244,0.38,0.276,0.38
7,1.596578,1.56231,0.3535,0.437,0.314058,0.437,0.350316,0.437
8,1.549182,1.726726,0.363,0.32,0.228333,0.32,0.253714,0.32
9,1.508387,1.803634,0.38425,0.24,0.150667,0.24,0.172381,0.24
10,1.449095,1.458396,0.40025,0.52,0.401667,0.52,0.438,0.52
11,1.402315,1.456392,0.413,0.42,0.331667,0.42,0.358,0.42
12,1.361274,1.319266,0.4345,0.405,0.321429,0.405,0.339212,0.405
13,1.320157,1.196884,0.453,0.54,0.400667,0.54,0.439333,0.54
14,1.288885,1.311762,0.4525,0.56,0.476667,0.56,0.503333,0.56
15,1.258968,1.158589,0.46975,0.6,0.484459,0.6,0.519535,0.6
16,1.217579,1.08652,0.49425,0.62,0.46,0.62,0.51,0.62
17,1.184189,1.02549,0.49975,0.7,0.581667,0.7,0.618,0.7
18,1.149719,1.039036,0.5215,0.68,0.568333,0.68,0.601333,0.68
19,1.116735,1.153102,0.542,0.596,0.464771,0.596,0.499853,0.596
20,1.101635,0.939392,0.55,0.66,0.53,0.66,0.57,0.66
21,1.039743,0.876687,0.58275,0.68,0.560113,0.68,0.596734,0.68
22,1.026993,1.063403,0.585,0.67,0.568,0.67,0.592667,0.67
23,0.988955,0.946075,0.60875,0.7,0.566667,0.7,0.61,0.7
24,0.942943,0.830486,0.63275,0.66,0.528939,0.66,0.568667,0.66
25,0.9027,1.235445,0.64525,0.56,0.405002,0.56,0.447335,0.56
26,0.878393,1.275641,0.649,0.54,0.415,0.54,0.450381,0.54
27,0.864986,1.1092,0.653,0.64,0.524,0.64,0.556,0.64
28,0.776286,0.942312,0.70275,0.6,0.478399,0.6,0.511393,0.6
29,0.784984,0.952346,0.68625,0.692,0.567695,0.692,0.606309,0.692
30,0.719414,1.145166,0.72225,0.64,0.555,0.64,0.578,0.64
31,0.683943,0.896808,0.737,0.72,0.630667,0.72,0.656667,0.72
32,0.647129,1.101987,0.7525,0.58,0.479111,0.58,0.508701,0.58
33,0.588987,0.836352,0.7795,0.675,0.568671,0.675,0.601184,0.675
34,0.546713,0.823651,0.807,0.719,0.644756,0.719,0.667269,0.719
35,0.519221,0.647368,0.80875,0.818,0.759524,0.818,0.778517,0.818
36,0.529564,1.266546,0.80775,0.65,0.559119,0.65,0.582718,0.65
37,0.513034,0.714754,0.81425,0.695,0.623528,0.695,0.631469,0.695
38,0.430453,1.163569,0.847,0.567,0.435923,0.567,0.469648,0.567
39,0.393575,0.774015,0.873,0.798,0.72967,0.798,0.751288,0.798
40,0.386669,0.683205,0.8725,0.744,0.659594,0.744,0.686669,0.744
41,0.368251,1.193121,0.878,0.572,0.475184,0.572,0.495397,0.572
42,0.365159,0.537987,0.8775,0.78,0.68,0.78,0.713333,0.78
43,0.368586,1.166437,0.874,0.613,0.507515,0.613,0.53863,0.613
44,0.305514,0.67895,0.90325,0.707,0.599018,0.707,0.631324,0.707
45,0.324982,0.8575,0.889,0.669,0.570583,0.669,0.59039,0.669
46,0.302816,3.172089,0.89775,0.47,0.353873,0.47,0.383476,0.47
47,0.296407,0.959791,0.901,0.695,0.591305,0.695,0.620407,0.695
48,0.275921,0.5563,0.91,0.708,0.636177,0.708,0.629127,0.708
49,0.236482,0.618124,0.92625,0.817,0.7632,0.817,0.768124,0.817
50,0.293636,0.683507,0.9005,0.731,0.648369,0.731,0.661111,0.731
51,0.261187,0.462871,0.91175,0.836,0.75798,0.836,0.783929,0.836
52,0.259819,0.804977,0.91375,0.763,0.690733,0.763,0.704748,0.763
53,0.213673,2.591646,0.93575,0.496,0.34364,0.496,0.384417,0.496
54,0.226879,0.480301,0.9275,0.835,0.756,0.835,0.781587,0.835
55,0.228299,2.250454,0.923,0.635,0.509333,0.635,0.544376,0.635
56,0.242966,0.594425,0.916,0.706,0.618352,0.706,0.62801,0.706
