epoch,train_loss,val_loss,train_accuracy,val_accuracy,precision,recall,f1,efficiency
57,0.299202,1.976899,0.89175,0.544,0.454269,0.544,0.474236,0.544
58,0.228111,4.436361,0.92575,0.48,0.383038,0.48,0.384635,0.48
59,0.217359,0.919896,0.931,0.74,0.653202,0.74,0.679908,0.74
60,0.219476,0.703459,0.93325,0.761,0.691542,0.761,0.69991,0.761
61,0.230117,2.912488,0.926,0.55,0.416433,0.55,0.437145,0.55
62,0.213968,1.306506,0.9315,0.683,0.597875,0.683,0.606464,0.683
63,0.198563,0.450913,0.93475,0.874,0.841848,0.874,0.841323,0.874
64,0.208871,2.104334,0.94,0.643,0.591933,0.643,0.582374,0.643
65,0.179645,0.484413,0.942,0.839,0.766301,0.839,0.789425,0.839
66,0.252659,0.912319,0.9055,0.717,0.646065,0.717,0.656194,0.717
67,0.196895,1.713812,0.9345,0.675,0.569,0.675,0.597683,0.675
68,0.159266,0.371044,0.9495,0.84,0.776667,0.84,0.796667,0.84
69,0.138336,0.431381,0.9535,0.831,0.801897,0.831,0.786377,0.831
70,0.130071,1.521077,0.9625,0.72,0.618333,0.72,0.648,0.72
71,0.15515,2.986434,0.9485,0.62,0.531333,0.62,0.552381,0.62
72,0.134333,1.041329,0.95925,0.683,0.610825,0.683,0.623285,0.683
73,0.157442,4.725666,0.948,0.687,0.635904,0.687,0.640626,0.687
74,0.141953,1.712755,0.955,0.601,0.55173,0.601,0.541659,0.601
75,0.112117,0.662148,0.96975,0.819,0.745714,0.819,0.768999,0.819
76,0.15166,6.199099,0.94775,0.521,0.431015,0.521,0.444234,0.521
77,0.219054,0.438726,0.9215,0.862,0.827193,0.862,0.827429,0.862
78,0.162556,1.433532,0.9485,0.705,0.657438,0.705,0.649178,0.705
79,0.131186,1.102273,0.95975,0.705,0.620224,0.705,0.636104,0.705
80,0.126744,1.044457,0.961,0.76,0.695765,0.76,0.699291,0.76
81,0.150289,0.700302,0.95,0.738,0.628823,0.738,0.661953,0.738
82,0.062135,1.861243,0.986,0.683,0.594116,0.683,0.59956,0.683
83,0.130169,1.965447,0.95975,0.661,0.584398,0.661,0.591531,0.661
84,0.051301,0.107243,0.99025,0.96,0.94,0.96,0.946667,0.96
85,0.02442,0.039407,0.999,0.994,0.995385,0.994,0.993862,0.994
86,0.017328,0.022368,0.99975,1.0,1.0,1.0,1.0,1.0
87,0.014144,0.020593,0.99975,1.0,1.0,1.0,1.0,1.0
88,0.011871,0.008241,1.0,1.0,1.0,1.0,1.0,1.0
89,0.010488,0.009748,1.0,1.0,1.0,1.0,1.0,1.0
90,0.00916,0.02162,1.0,1.0,1.0,1.0,1.0,1.0
91,0.008727,0.008648,1.0,1.0,1.0,1.0,1.0,1.0
92,0.008196,0.014905,1.0,1.0,1.0,1.0,1.0,1.0
93,0.007289,0.010993,1.0,1.0,1.0,1.0,1.0,1.0
94,0.006613,0.014761,1.0,1.0,1.0,1.0,1.0,1.0
95,0.005976,0.009118,1.0,1.0,1.0,1.0,1.0,1.0
96,0.005473,0.010505,1.0,1.0,1.0,1.0,1.0,1.0
97,0.005006,0.009885,1.0,1.0,1.0,1.0,1.0,1.0
98,0.004652,0.01009,1.0,1.0,1.0,1.0,1.0,1.0
99,0.00427,0.023836,1.0,1.0,1.0,1.0,1.0,1.0
100,0.007796,5.410021,1.0,0.681,0.653689,0.681,0.659583,0.681
101,0.214198,4.800316,0.92525,0.624,0.532024,0.624,0.551106,0.624
102,0.088777,0.416922,0.9755,0.874,0.835385,0.874,0.847195,0.874
103,0.029889,0.227606,0.99525,0.923,0.900811,0.923,0.899252,0.923
104,0.012022,0.065021,0.99975,0.968,0.980456,0.968,0.962105,0.968
105,0.00865,0.031162,1.0,0.999,0.999048,0.999,0.998999,0.999
106,0.007561,0.010855,1.0,1.0,1.0,1.0,1.0,1.0
107,0.006872,0.017616,1.0,1.0,1.0,1.0,1.0,1.0
108,0.006251,0.017549,1.0,1.0,1.0,1.0,1.0,1.0
109,0.005695,0.02148,1.0,1.0,1.0,1.0,1.0,1.0
110,0.005287,0.010291,1.0,1.0,1.0,1.0,1.0,1.0
111,0.004848,0.015206,1.0,1.0,1.0,1.0,1.0,1.0
112,0.004552,0.008603,1.0,1.0,1.0,1.0,1.0,1.0
113,0.0042,0.006789,1.0,1.0,1.0,1.0,1.0,1.0
114,0.003959,0.004426,1.0,1.0,1.0,1.0,1.0,1.0
115,0.003763,0.007517,1.0,1.0,1.0,1.0,1.0,1.0
116,0.003509,0.00472,1.0,1.0,1.0,1.0,1.0,1.0
117,0.003278,0.004175,1.0,1.0,1.0,1.0,1.0,1.0
118,0.003089,0.004009,1.0,1.0,1.0,1.0,1.0,1.0
119,0.002909,0.003792,1.0,1.0,1.0,1.0,1.0,1.0
120,0.002742,0.003216,1.0,1.0,1.0,1.0,1.0,1.0
121,0.002612,0.004911,1.0,1.0,1.0,1.0,1.0,1.0
122,0.002519,0.007443,1.0,1.0,1.0,1.0,1.0,1.0
123,0.002388,0.005511,1.0,1.0,1.0,1.0,1.0,1.0
124,0.002216,0.009925,1.0,1.0,1.0,1.0,1.0,1.0
125,0.002041,0.002364,1.0,1.0,1.0,1.0,1.0,1.0
126,0.001942,0.003648,1.0,1.0,1.0,1.0,1.0,1.0
