a1,a2,a3,a4,a5,a6
195.82300258307518,0.977312761055601,29.310761379428506,44.56630455866684,0.9331151868187334,865.2491448549123
141.75451355905034,0.8635326361856953,32.75686968210589,44.96245432544506,0.8554479285851898,394.2068447275681
122.1542518904261,0.5683465983651864,29.707189671405192,46.36059613434699,1.4791694536781783,628.1286008195981
107.69938916239569,0.729660645121578,26.25528226855879,44.96474659939221,2.056059905959259,441.95928676296785
179.83646244027375,0.9244616862961668,23.16656336188963,42.494300559159846,2.1133264963619296,854.5911135610377
86.66584847915269,0.36631837684013435,36.49566484442199,46.8012216715779,0.9472776356892028,75.38907022737328
75.15188627697971,0.39546649838237946,36.08535123184204,46.224816549221764,0.8643243294516304,114.39796980897054
193.64864697869137,0.8491401896407168,29.944988222754816,47.94185246550866,2.4796094768645784,397.8143185343496
141.82553673298,0.6487262604468966,36.187555488716335,48.369686697782065,1.4104829656684035,449.5522470769475
141.37566994839182,0.6028702173218492,34.19154879346821,47.421000465577436,1.1178607783365895,638.5850269415549
171.80113004977778,1.114542070217614,26.960511223240626,43.306743780191795,1.5056105066908287,333.15270012644
95.7330424327205,0.6585774062511445,26.82328422719349,44.95791805047526,1.9055827317221743,375.7538670440856
161.5358250316674,0.77841684201386,26.958747877523706,42.801048354658775,1.241098164973452,560.8619618247626
153.58617989624338,0.9404488511537683,30.274722137439475,44.068571938727324,0.9087371507570273,585.4973308274764
111.017386332474,0.6003183974169307,32.60928640390881,44.9723115761973,0.9145288704403183,300.1663936439729
140.35869510624133,0.8588886107152853,32.11264127678621,45.17475495461027,0.7759662235351509,715.5386766944745
132.4150533126988,0.7350467686564865,30.784527346194235,45.45460587462428,1.0341657220717022,627.2956879994697
184.85272419413553,0.9117137466665973,27.531536252183457,45.78886470242283,1.4061698952214732,1238.7143152760455
116.46284395951805,0.599352546237217,27.83326460809146,45.129856278906004,1.5301663882031973,556.3340942687463
92.61807076043021,0.679160825246936,27.383541219266423,47.356613606477566,2.913742720480188,612.5344058924179
90.74592834988806,0.3878550339448773,27.297723448324184,47.902964152364426,3.1149779629747814,392.05472085091367
93.42955174816406,0.47931583037468617,27.50017166164947,47.55717962751593,2.912869956437278,495.1830901453971
67.93943049106261,0.46996927944419437,32.61849737914588,47.542674059682504,1.7705264062992545,202.05849693795219
200.23213669032896,1.445270426908623,32.614116450008154,50.37956562847756,2.938434239454648,1253.1027667377941
100.95618411697698,1.6306088769527274,28.049622165980544,43.85380755525319,1.3573264172832844,453.3279152397541
