shot,a4_mean,a4_sigma,p_bump
10084_cv,15.61336100101471,3.38338203728199,0.6535760164260864
10084_ch,18.776953518390656,3.38338203728199,0.20992007851600647
11696_cv,14.472750127315521,3.38338203728199,2.015540623290235e-08
11696_ch,7.46307235211134,3.38338203728199,1.042804598228031e-08
11705_cv,14.256677329540253,3.38338203728199,0.9999692440032959
11705_ch,19.027969539165497,3.38338203728199,0.4111781418323517
11707_cv,16.453187465667725,3.38338203728199,0.9996898174285889
11707_ch,16.84658706188202,3.38338203728199,0.024823438376188278
11716_cv,15.526862740516663,3.38338203728199,0.6003614664077759
11716_ch,15.739439725875854,3.38338240981102,0.39461207389831543
11733_cv,16.1476331949234,3.38338203728199,0.48091280460357666
11733_ch,15.556204617023468,3.38338203728199,0.5370716452598572
11698_cv,15.06871908903122,3.38338203728199,0.49522334337234497
11698_ch,16.96277141571045,3.38338203728199,0.05943852663040161
