epoch,train_loss,val_loss,train_accuracy,val_accuracy,precision,recall,f1,efficiency
1,1.752654,2.217502,0.39375,0.3,0.170833,0.3,0.200952,0.3
2,1.270523,1.714961,0.491875,0.5,0.385,0.5,0.416667,0.5
3,1.149865,1.824691,0.5475,0.3,0.125,0.3,0.175,0.3
4,1.034445,1.541329,0.576875,0.2,0.070833,0.2,0.103333,0.2
5,0.962254,1.347702,0.618125,0.35,0.241667,0.35,0.275,0.35
6,0.93557,1.1961,0.63625,0.35,0.241667,0.35,0.275,0.35
7,0.868674,1.751743,0.660625,0.35,0.226667,0.35,0.258333,0.35
8,0.816516,0.868421,0.68,0.55,0.425,0.55,0.466667,0.55
9,0.789603,0.962196,0.68625,0.5,0.341667,0.5,0.391667,0.5
10,0.757937,0.959514,0.71125,0.6,0.466667,0.6,0.508333,0.6
11,0.728836,1.206777,0.72,0.45,0.333333,0.45,0.366667,0.45
12,0.738051,0.719975,0.733125,0.65,0.525,0.65,0.566667,0.65
13,0.724929,0.714438,0.7075,0.65,0.575,0.65,0.6,0.65
14,0.667319,0.661454,0.75375,0.7,0.641667,0.7,0.658333,0.7
15,0.651172,0.964266,0.75125,0.6,0.491667,0.6,0.525,0.6
16,0.630629,0.811839,0.756875,0.75,0.691667,0.75,0.708333,0.75
17,0.60737,0.581568,0.77125,0.85,0.775,0.85,0.8,0.85
18,0.587204,0.622278,0.78,0.715,0.7,0.715,0.689744,0.715
19,0.585763,0.609447,0.7675,0.75,0.691667,0.75,0.708333,0.75
20,0.565985,0.491228,0.780625,0.85,0.775,0.85,0.8,0.85
21,0.526324,0.595886,0.80375,0.8,0.775,0.8,0.783333,0.8
22,0.518175,0.692704,0.808125,0.65,0.575,0.65,0.6,0.65
23,0.51202,0.600647,0.80375,0.7,0.65,0.7,0.666667,0.7
24,0.487229,0.485945,0.82625,0.75,0.7,0.75,0.716667,0.75
25,0.47334,0.461924,0.826875,0.8,0.775,0.8,0.783333,0.8
26,0.474703,0.487457,0.830625,0.75,0.7,0.75,0.716667,0.75
27,0.422749,0.808837,0.848125,0.75,0.7,0.75,0.716667,0.75
28,0.405158,0.509973,0.855,0.8,0.775,0.8,0.783333,0.8
29,0.387485,0.816164,0.859375,0.605,0.538571,0.605,0.560087,0.605
30,0.357041,0.424215,0.868125,0.8,0.725,0.8,0.75,0.8
31,0.34275,0.489465,0.875,0.8,0.775,0.8,0.783333,0.8
32,0.385303,0.914016,0.850625,0.65,0.591667,0.65,0.608333,0.65
33,0.38622,0.333445,0.848125,0.85,0.8,0.85,0.816667,0.85
34,0.334975,0.584478,0.88375,0.8,0.775,0.8,0.783333,0.8
35,0.334015,0.474711,0.8875,0.75,0.7,0.75,0.716667,0.75
36,0.323202,0.960925,0.875625,0.65,0.575,0.65,0.6,0.65
37,0.335206,1.144491,0.88,0.5,0.425,0.5,0.45,0.5
38,0.350737,0.808105,0.855625,0.7,0.675,0.7,0.683333,0.7
39,0.376421,0.860929,0.86,0.655,0.601316,0.655,0.593574,0.655
40,0.386361,0.489924,0.84625,0.8,0.725,0.8,0.75,0.8
41,0.33999,0.527748,0.869375,0.7,0.625,0.7,0.65,0.7
42,0.305391,0.778442,0.88,0.75,0.7,0.75,0.716667,0.75
43,0.296971,0.582716,0.90625,0.8,0.775,0.8,0.783333,0.8
44,0.277198,0.540457,0.90625,0.8,0.725,0.8,0.75,0.8
45,0.275254,0.627299,0.91125,0.75,0.7,0.75,0.716667,0.75
46,0.258484,0.637329,0.915,0.8,0.775,0.8,0.783333,0.8
47,0.252871,0.490216,0.9175,0.845,0.795455,0.845,0.811654,0.845
48,0.246102,0.425845,0.904375,0.85,0.8,0.85,0.816667,0.85
49,0.304105,0.154603,0.871875,0.95,0.925,0.95,0.933333,0.95
50,0.207631,0.139345,0.9425,0.95,0.925,0.95,0.933333,0.95
51,0.161038,0.10863,0.959375,1.0,1.0,1.0,1.0,1.0
52,0.142347,0.10253,0.975625,1.0,1.0,1.0,1.0,1.0
53,0.131633,0.092759,0.976875,1.0,1.0,1.0,1.0,1.0
54,0.125415,0.085893,0.981875,1.0,1.0,1.0,1.0,1.0
55,0.119708,0.071712,0.979375,1.0,1.0,1.0,1.0,1.0
56,0.112899,0.066036,0.979375,1.0,1.0,1.0,1.0,1.0
57,0.103558,0.060111,0.983125,1.0,1.0,1.0,1.0,1.0
58,0.093784,0.054442,0.988125,1.0,1.0,1.0,1.0,1.0
59,0.0873,0.052168,0.9875,1.0,1.0,1.0,1.0,1.0
60,0.082816,0.060877,0.98875,1.0,1.0,1.0,1.0,1.0
61,0.073591,0.091443,0.995625,1.0,1.0,1.0,1.0,1.0
62,0.077831,0.044618,0.99125,1.0,1.0,1.0,1.0,1.0
63,0.067888,0.045533,0.99125,1.0,1.0,1.0,1.0,1.0
64,0.072149,0.037936,0.994375,1.0,1.0,1.0,1.0,1.0
65,0.062414,0.040168,0.996875,1.0,1.0,1.0,1.0,1.0
66,0.062008,0.072035,0.996875,1.0,1.0,1.0,1.0,1.0
67,0.056063,0.114745,0.996875,0.95,0.925,0.95,0.933333,0.95
68,0.052814,0.155181,0.995,0.9,0.866667,0.9,0.875,0.9
69,0.052954,0.043845,0.995625,1.0,1.0,1.0,1.0,1.0
70,0.048174,0.12259,0.998125,0.95,0.925,0.95,0.933333,0.95
71,0.042829,0.041058,0.9975,1.0,1.0,1.0,1.0,1.0
72,0.04242,0.024266,0.998125,1.0,1.0,1.0,1.0,1.0
73,0.050089,0.070225,0.99375,0.95,0.925,0.95,0.933333,0.95
74,0.047817,0.204854,0.99625,0.85,0.8,0.85,0.816667,0.85
75,0.104524,0.104471,0.970625,0.95,0.925,0.95,0.933333,0.95
76,0.10495,0.033085,0.97625,1.0,1.0,1.0,1.0,1.0
77,0.09632,0.147464,0.975625,0.95,0.925,0.95,0.933333,0.95
78,0.075516,0.032543,0.985625,1.0,1.0,1.0,1.0,1.0
79,0.065867,0.261746,0.988125,0.9,0.85,0.9,0.866667,0.9
80,0.055229,0.070318,0.993125,0.9725,0.982258,0.9725,0.97025,0.9725
81,0.047948,0.131895,0.994375,0.95,0.925,0.95,0.933333,0.95
82,0.051981,0.031478,0.99125,1.0,1.0,1.0,1.0,1.0
83,0.070406,0.178632,0.975,0.9,0.866667,0.9,0.875,0.9
84,0.056619,0.045214,0.990625,1.0,1.0,1.0,1.0,1.0
85,0.063071,0.192895,0.98875,0.935,0.913462,0.935,0.917988,0.935
86,0.061019,0.204547,0.989375,0.95,0.925,0.95,0.933333,0.95
87,0.123172,0.12202,0.9525,0.9975,0.997619,0.9975,0.997498,0.9975
88,0.138262,0.043951,0.958125,1.0,1.0,1.0,1.0,1.0
89,0.049713,0.097358,0.995,1.0,1.0,1.0,1.0,1.0
90,0.033687,0.051259,0.998125,1.0,1.0,1.0,1.0,1.0
91,0.026292,0.02459,0.999375,1.0,1.0,1.0,1.0,1.0
