epoch,train_loss,val_loss,train_accuracy,val_accuracy,precision,recall,f1,efficiency
1,3.217714,2.889514,0.099375,0.0995,0.02703,0.0995,0.037354,0.0995
2,2.675739,2.578521,0.135625,0.154,0.049469,0.154,0.069821,0.154
3,2.514698,2.772485,0.152375,0.14,0.048778,0.14,0.068333,0.14
4,2.382091,2.558168,0.17775,0.18,0.061168,0.18,0.08582,0.18
5,2.281011,2.371006,0.196,0.18,0.08904,0.18,0.1085,0.18
6,2.203525,2.173388,0.211125,0.26,0.107251,0.26,0.144614,0.26
7,2.129438,1.945579,0.228875,0.2805,0.13633,0.2805,0.16823,0.2805
8,2.064905,1.950512,0.253125,0.256,0.137667,0.256,0.163167,0.256
9,1.963671,1.928184,0.283875,0.3205,0.185208,0.3205,0.218436,0.3205
10,1.868402,1.918319,0.31675,0.3225,0.196994,0.3225,0.224517,0.3225
11,1.740273,2.094178,0.3575,0.2315,0.117122,0.2315,0.136516,0.2315
12,1.618469,2.717981,0.400625,0.23,0.133947,0.23,0.150489,0.23
13,1.508315,2.497194,0.444875,0.2905,0.160746,0.2905,0.191386,0.2905
14,1.337023,2.472604,0.505125,0.2195,0.104543,0.2195,0.131883,0.2195
15,1.249705,2.648358,0.540375,0.3265,0.231035,0.3265,0.248981,0.3265
16,1.151852,1.969376,0.574,0.34,0.226337,0.34,0.242517,0.34
17,1.026731,1.523882,0.624375,0.382,0.275824,0.382,0.292973,0.382
18,0.922627,1.30215,0.67025,0.4185,0.334585,0.4185,0.332681,0.4185
19,0.816,1.301244,0.709875,0.467,0.36741,0.467,0.382222,0.467
20,0.763903,1.575574,0.73025,0.382,0.276002,0.382,0.287385,0.382
21,0.682112,2.723419,0.75125,0.5065,0.430868,0.5065,0.442371,0.5065
22,0.643527,2.130437,0.767,0.481,0.366177,0.481,0.391352,0.481
23,0.602265,0.807165,0.78175,0.6775,0.588774,0.6775,0.610591,0.6775
24,0.556786,0.832352,0.801375,0.7,0.629849,0.7,0.642986,0.7
25,0.497049,2.760404,0.818,0.5985,0.518832,0.5985,0.534841,0.5985
26,0.481872,1.968497,0.82725,0.591,0.490125,0.591,0.512908,0.591
27,0.475804,1.633523,0.832125,0.618,0.520837,0.618,0.546284,0.618
28,0.445252,5.833513,0.83625,0.418,0.324696,0.418,0.341586,0.418
29,0.45071,5.452997,0.83825,0.4705,0.383372,0.4705,0.39461,0.4705
