epoch_index,loss,mae,val_loss,val_mae,learning_rate
0,0.00018194748554378748,0.006793317385017872,0.0001445269153919071,0.006497936323285103,0.0010000000474974513
1,2.8196373023092747e-05,0.0030403879936784506,5.334368324838579e-05,0.003168199909850955,0.0010000000474974513
2,2.1233101506368257e-05,0.0025322672445327044,2.7977901481790468e-05,0.0026255392003804445,0.0010000000474974513
3,1.664896080910694e-05,0.002219974994659424,3.193752490915358e-05,0.0025939957704395056,0.0010000000474974513
4,1.4768930668651592e-05,0.0020543234422802925,4.166625876678154e-05,0.002762822201475501,0.0010000000474974513
5,1.3768908502242994e-05,0.0019516596803441644,4.971248563379049e-05,0.002880825661122799,0.0010000000474974513
6,1.3214240425440948e-05,0.0018903911113739014,1.7270214812015183e-05,0.0021313969045877457,0.0010000000474974513
7,1.1425072443671525e-05,0.0017598769627511501,7.593505142722279e-05,0.003338952548801899,0.0010000000474974513
8,1.0760218174254987e-05,0.001684434711933136,2.957699507533107e-05,0.0022623888216912746,0.0010000000474974513
9,1.0588399163680151e-05,0.0016547545092180371,1.823971797421109e-05,0.002004736801609397,0.0010000000474974513
10,9.52627306105569e-06,0.001573961111716926,1.6917041648412123e-05,0.0018509464571252465,0.0010000000474974513
11,8.949845323513728e-06,0.0015335221542045474,1.2953051736985799e-05,0.0016118024941533804,0.0010000000474974513
12,9.110054634220432e-06,0.0015284601831808686,9.305806997872423e-06,0.001473772688768804,0.0010000000474974513
13,7.236696092149941e-06,0.0013850951800122857,5.884546226297971e-06,0.0012452483642846346,0.0005000000237487257
14,6.883919922984205e-06,0.0013503186637535691,3.313532943138853e-05,0.0017153879161924124,0.0005000000237487257
15,6.932726591912797e-06,0.001347065670415759,1.3966601727588568e-05,0.0013576160417869687,0.0005000000237487257
16,6.852171281934716e-06,0.0013399081071838737,1.1295998774585314e-05,0.0014580724528059363,0.0005000000237487257
17,6.281335572566604e-06,0.0012897475389763713,6.700570793327643e-06,0.0012424029409885406,0.0005000000237487257
18,6.179488991620019e-06,0.0012766596628353,5.646310000884114e-06,0.0011206669732928276,0.0005000000237487257
19,6.217003374331398e-06,0.0012744482373818755,7.56034614823875e-06,0.0013252422213554382,0.0005000000237487257
20,6.1341511354839895e-06,0.0012700001243501902,8.325213457283098e-06,0.0012818370014429092,0.0005000000237487257
21,5.970494385110214e-06,0.0012486573541536927,1.5648354747099802e-05,0.0014587407931685448,0.0005000000237487257
22,5.835448973812163e-06,0.0012320863315835595,8.790199899522122e-06,0.0013681810814887285,0.0005000000237487257
23,4.838439963350538e-06,0.0011438080109655857,3.852948339044815e-06,0.000975398754235357,0.0002500000118743628
24,4.982934115105309e-06,0.0011531879426911473,1.0835801731445827e-05,0.0014345470117405057,0.0002500000118743628
25,4.866430117544951e-06,0.0011428105644881725,3.430151082284283e-06,0.0009162042406387627,0.0002500000118743628
26,4.803574938705424e-06,0.0011293533025309443,8.951082236308139e-06,0.0013100123032927513,0.0002500000118743628
27,4.7321736929006875e-06,0.0011241261381655931,6.989207122387597e-06,0.0011070444015786052,0.0002500000118743628
28,4.677983270084951e-06,0.0011206238996237516,6.251133982004831e-06,0.001137064304202795,0.0002500000118743628
29,4.743946647067787e-06,0.001120876637287438,5.560600584431086e-06,0.0011248671216890216,0.0002500000118743628
30,4.634761353372596e-06,0.0011128983460366726,5.711443009204231e-06,0.001061724848113954,0.0002500000118743628
31,4.534690560831223e-06,0.0011051824549213052,7.395598458970198e-06,0.0012420970015227795,0.0002500000118743628
32,4.490178980631754e-06,0.001096028252504766,5.244470685283886e-06,0.0010954926256090403,0.0002500000118743628
33,4.0146405808627605e-06,0.0010487387189641595,5.130627869220916e-06,0.0009229762945324183,0.0001250000059371814
34,4.0054046621662565e-06,0.001047604251652956,4.5375509216682985e-06,0.0010192736517637968,0.0001250000059371814
35,4.024198460683692e-06,0.001047261874191463,3.215728384020622e-06,0.0008618683787062764,0.0001250000059371814
36,4.005774371762527e-06,0.0010457081953063607,2.7059672902396414e-06,0.0008235390414483845,0.0001250000059371814
37,3.932753770641284e-06,0.0010341583983972669,3.970310444856295e-06,0.0008752113208174706,0.0001250000059371814
38,3.91379671782488e-06,0.0010338029824197292,4.098405042896047e-06,0.0009845575550571084,0.0001250000059371814
39,3.8788566598668694e-06,0.0010292751248925924,3.0502012577926507e-06,0.0008400376536883414,0.0001250000059371814
